Stab,Error,Sign,Wind,Mag,Vis,Auto-pilot
stab,SS,pp,head,Low,yes,YES
stab,SS,pp,tail,Low,yes,YES
stab,SS,nn,head,Low,yes,YES
stab,SS,nn,tail,Low,yes,YES
stab,SS,pp,head,Med,yes,YES
stab,SS,pp,tail,Med,yes,YES
stab,SS,nn,head,Med,yes,YES
stab,SS,nn,tail,Med,yes,YES
stab,SS,pp,head,Strong,yes,YES
stab,SS,pp,tail,Strong,yes,YES
stab,SS,nn,head,Strong,yes,YES
stab,SS,nn,tail,Strong,yes,YES
stab,MM,pp,head,Low,yes,YES
stab,MM,pp,head,Med,yes,YES
stab,MM,pp,head,Low,yes,YES
stab,MM,pp,head,Med,yes,YES
stab,MM,pp,head,Strong,yes,YES
stab,XL,pp,head,Low,no,YES
stab,XL,pp,head,Med,no,YES
stab,XL,pp,head,Strong,no,YES
stab,XL,pp,head,Out,no,YES
stab,XL,pp,tail,Low,no,YES
stab,XL,pp,tail,Med,no,YES
stab,XL,pp,tail,Strong,no,YES
stab,XL,pp,tail,Out,no,YES
stab,XL,nn,head,Low,no,YES
stab,XL,nn,head,Med,no,YES
stab,XL,nn,head,Strong,no,YES
stab,XL,nn,head,Out,no,YES
stab,XL,nn,tail,Low,no,YES
stab,XL,nn,tail,Med,no,YES
stab,XL,nn,tail,Strong,no,YES
stab,XL,nn,tail,Out,no,YES
stab,LX,pp,head,Low,no,YES
stab,LX,pp,head,Med,no,YES
stab,LX,pp,head,Strong,no,YES
stab,LX,pp,head,Out,no,YES
stab,LX,pp,tail,Low,no,YES
stab,LX,pp,tail,Med,no,YES
stab,LX,pp,tail,Strong,no,YES
stab,LX,pp,tail,Out,no,YES
stab,LX,nn,head,Low,no,YES
stab,LX,nn,head,Med,no,YES
stab,LX,nn,head,Strong,no,YES
stab,LX,nn,head,Out,no,YES
stab,LX,nn,tail,Low,no,YES
stab,LX,nn,tail,Med,no,YES
stab,LX,nn,tail,Strong,no,YES
stab,LX,nn,tail,Out,no,YES
stab,MM,pp,head,Low,no,YES
stab,MM,pp,head,Med,no,YES
stab,MM,pp,head,Strong,no,YES
stab,MM,pp,head,Out,no,YES
stab,MM,pp,tail,Low,no,YES
stab,MM,pp,tail,Med,no,YES
stab,MM,pp,tail,Strong,no,YES
stab,MM,pp,tail,Out,no,YES
stab,MM,nn,head,Low,no,YES
stab,MM,nn,head,Med,no,YES
stab,MM,nn,head,Strong,no,YES
stab,MM,nn,head,Out,no,YES
stab,MM,nn,tail,Low,no,YES
stab,MM,nn,tail,Med,no,YES
stab,MM,nn,tail,Strong,no,YES
stab,MM,nn,tail,Out,no,YES
stab,SS,pp,head,Low,no,YES
stab,SS,pp,head,Med,no,YES
stab,SS,pp,head,Strong,no,YES
stab,SS,pp,head,Out,no,YES
stab,SS,pp,tail,Low,no,YES
stab,SS,pp,tail,Med,no,YES
stab,SS,pp,tail,Strong,no,YES
stab,SS,pp,tail,Out,no,YES
stab,SS,nn,head,Low,no,YES
stab,SS,nn,head,Med,no,YES
stab,SS,nn,head,Strong,no,YES
stab,SS,nn,head,Out,no,YES
stab,SS,nn,tail,Low,no,YES
stab,SS,nn,tail,Med,no,YES
stab,SS,nn,tail,Strong,no,YES
stab,SS,nn,tail,Out,no,YES
xstab,XL,pp,head,Low,no,YES
xstab,XL,pp,head,Med,no,YES
xstab,XL,pp,head,Strong,no,YES
xstab,XL,pp,head,Out,no,YES
xstab,XL,pp,tail,Low,no,YES
xstab,XL,pp,tail,Med,no,YES
xstab,XL,pp,tail,Strong,no,YES
xstab,XL,pp,tail,Out,no,YES
xstab,XL,nn,head,Low,no,YES
xstab,XL,nn,head,Med,no,YES
xstab,XL,nn,head,Strong,no,YES
xstab,XL,nn,head,Out,no,YES
xstab,XL,nn,tail,Low,no,YES
xstab,XL,nn,tail,Med,no,YES
xstab,XL,nn,tail,Strong,no,YES
xstab,XL,nn,tail,Out,no,YES
xstab,LX,pp,head,Low,no,YES
xstab,LX,pp,head,Med,no,YES
xstab,LX,pp,head,Strong,no,YES
xstab,LX,pp,head,Out,no,YES
xstab,LX,pp,tail,Low,no,YES
xstab,LX,pp,tail,Med,no,YES
xstab,LX,pp,tail,Strong,no,YES
xstab,LX,pp,tail,Out,no,YES
xstab,LX,nn,head,Low,no,YES
xstab,LX,nn,head,Med,no,YES
xstab,LX,nn,head,Strong,no,YES
xstab,LX,nn,head,Out,no,YES
xstab,LX,nn,tail,Low,no,YES
xstab,LX,nn,tail,Med,no,YES
xstab,LX,nn,tail,Strong,no,YES
xstab,LX,nn,tail,Out,no,YES
xstab,MM,pp,head,Low,no,YES
xstab,MM,pp,head,Med,no,YES
xstab,MM,pp,head,Strong,no,YES
xstab,MM,pp,head,Out,no,YES
xstab,MM,pp,tail,Low,no,YES
xstab,MM,pp,tail,Med,no,YES
xstab,MM,pp,tail,Strong,no,YES
xstab,MM,pp,tail,Out,no,YES
xstab,MM,nn,head,Low,no,YES
xstab,MM,nn,head,Med,no,YES
xstab,MM,nn,head,Strong,no,YES
xstab,MM,nn,head,Out,no,YES
xstab,MM,nn,tail,Low,no,YES
xstab,MM,nn,tail,Med,no,YES
xstab,MM,nn,tail,Strong,no,YES
xstab,MM,nn,tail,Out,no,YES
xstab,SS,pp,head,Low,no,YES
xstab,SS,pp,head,Med,no,YES
xstab,SS,pp,head,Strong,no,YES
xstab,SS,pp,head,Out,no,YES
xstab,SS,pp,tail,Low,no,YES
xstab,SS,pp,tail,Med,no,YES
xstab,SS,pp,tail,Strong,no,YES
xstab,SS,pp,tail,Out,no,YES
xstab,SS,nn,head,Low,no,YES
xstab,SS,nn,head,Med,no,YES
xstab,SS,nn,head,Strong,no,YES
xstab,SS,nn,head,Out,no,YES
xstab,SS,nn,tail,Low,no,YES
xstab,SS,nn,tail,Med,no,YES
xstab,SS,nn,tail,Strong,no,YES
xstab,SS,nn,tail,Out,no,YES
stab,MM,pp,head,Strong,yes,NO
xstab,XL,pp,head,Low,yes,NO
xstab,XL,pp,head,Med,yes,NO
xstab,XL,pp,head,Strong,yes,NO
xstab,XL,pp,head,Out,yes,NO
xstab,XL,pp,tail,Low,yes,NO
xstab,XL,pp,tail,Med,yes,NO
xstab,XL,pp,tail,Strong,yes,NO
xstab,XL,pp,tail,Out,yes,NO
xstab,XL,nn,head,Low,yes,NO
xstab,XL,nn,head,Med,yes,NO
xstab,XL,nn,head,Strong,yes,NO
xstab,XL,nn,head,Out,yes,NO
xstab,XL,nn,tail,Low,yes,NO
xstab,XL,nn,tail,Med,yes,NO
xstab,XL,nn,tail,Strong,yes,NO
xstab,XL,nn,tail,Out,yes,NO
xstab,LX,pp,head,Low,yes,NO
xstab,LX,pp,head,Med,yes,NO
xstab,LX,pp,head,Strong,yes,NO
xstab,LX,pp,head,Out,yes,NO
xstab,LX,pp,tail,Low,yes,NO
xstab,LX,pp,tail,Med,yes,NO
xstab,LX,pp,tail,Strong,yes,NO
xstab,LX,pp,tail,Out,yes,NO
xstab,LX,nn,head,Low,yes,NO
xstab,LX,nn,head,Med,yes,NO
xstab,LX,nn,head,Strong,yes,NO
xstab,LX,nn,head,Out,yes,NO
xstab,LX,nn,tail,Low,yes,NO
xstab,LX,nn,tail,Med,yes,NO
xstab,LX,nn,tail,Strong,yes,NO
xstab,LX,nn,tail,Out,yes,NO
xstab,MM,pp,head,Low,yes,NO
xstab,MM,pp,head,Med,yes,NO
xstab,MM,pp,head,Strong,yes,NO
xstab,MM,pp,head,Out,yes,NO
xstab,MM,pp,tail,Low,yes,NO
xstab,MM,pp,tail,Med,yes,NO
xstab,MM,pp,tail,Strong,yes,NO
xstab,MM,pp,tail,Out,yes,NO
xstab,MM,nn,head,Low,yes,NO
xstab,MM,nn,head,Med,yes,NO
xstab,MM,nn,head,Strong,yes,NO
xstab,MM,nn,head,Out,yes,NO
xstab,MM,nn,tail,Low,yes,NO
xstab,MM,nn,tail,Med,yes,NO
xstab,MM,nn,tail,Strong,yes,NO
xstab,MM,nn,tail,Out,yes,NO
xstab,SS,pp,head,Low,yes,NO
xstab,SS,pp,head,Med,yes,NO
xstab,SS,pp,head,Strong,yes,NO
xstab,SS,pp,head,Out,yes,NO
xstab,SS,pp,tail,Low,yes,NO
xstab,SS,pp,tail,Med,yes,NO
xstab,SS,pp,tail,Strong,yes,NO
xstab,SS,pp,tail,Out,yes,NO
xstab,SS,nn,head,Low,yes,NO
xstab,SS,nn,head,Med,yes,NO
xstab,SS,nn,head,Strong,yes,NO
xstab,SS,nn,head,Out,yes,NO
xstab,SS,nn,tail,Low,yes,NO
xstab,SS,nn,tail,Med,yes,NO
xstab,SS,nn,tail,Strong,yes,NO
xstab,SS,nn,tail,Out,yes,NO
stab,LX,pp,head,Low,yes,NO
stab,LX,pp,head,Med,yes,NO
stab,LX,pp,head,Strong,yes,NO
stab,LX,pp,head,Out,yes,NO
stab,LX,pp,tail,Low,yes,NO
stab,LX,pp,tail,Med,yes,NO
stab,LX,pp,tail,Strong,yes,NO
stab,LX,pp,tail,Out,yes,NO
stab,LX,nn,head,Low,yes,NO
stab,LX,nn,head,Med,yes,NO
stab,LX,nn,head,Strong,yes,NO
stab,LX,nn,head,Out,yes,NO
stab,LX,nn,tail,Low,yes,NO
stab,LX,nn,tail,Med,yes,NO
stab,LX,nn,tail,Strong,yes,NO
stab,LX,nn,tail,Out,yes,NO
stab,XL,pp,head,Low,yes,NO
stab,XL,pp,head,Med,yes,NO
stab,XL,pp,head,Strong,yes,NO
stab,XL,pp,head,Out,yes,NO
stab,XL,pp,tail,Low,yes,NO
stab,XL,pp,tail,Med,yes,NO
stab,XL,pp,tail,Strong,yes,NO
stab,XL,pp,tail,Out,yes,NO
stab,XL,nn,head,Low,yes,NO
stab,XL,nn,head,Med,yes,NO
stab,XL,nn,head,Strong,yes,NO
stab,XL,nn,head,Out,yes,NO
stab,XL,nn,tail,Low,yes,NO
stab,XL,nn,tail,Med,yes,NO
stab,XL,nn,tail,Strong,yes,NO
stab,XL,nn,tail,Out,yes,NO
stab,MM,nn,tail,Low,yes,NO
stab,MM,nn,tail,Med,yes,NO
stab,MM,nn,tail,Strong,yes,NO
stab,MM,nn,tail,Out,yes,NO
stab,XL,pp,head,Out,yes,NO
stab,XL,pp,tail,Out,yes,NO
stab,XL,nn,head,Out,yes,NO
stab,XL,nn,tail,Out,yes,NO
stab,LX,pp,head,Out,yes,NO
stab,LX,pp,tail,Out,yes,NO
stab,LX,nn,head,Out,yes,NO
stab,LX,nn,tail,Out,yes,NO
stab,MM,pp,head,Out,yes,NO
stab,MM,pp,tail,Out,yes,NO
stab,MM,nn,head,Out,yes,NO
stab,MM,nn,tail,Out,yes,NO
stab,SS,pp,head,Out,yes,NO
stab,SS,pp,tail,Out,yes,NO
stab,SS,nn,head,Out,yes,NO
stab,SS,nn,tail,Out,yes,NO
xstab,XL,pp,head,Out,yes,NO
xstab,XL,pp,tail,Out,yes,NO
xstab,XL,nn,head,Out,yes,NO
xstab,XL,nn,tail,Out,yes,NO
xstab,LX,pp,head,Out,yes,NO
xstab,LX,pp,tail,Out,yes,NO
xstab,LX,nn,head,Out,yes,NO
xstab,LX,nn,tail,Out,yes,NO
xstab,MM,pp,head,Out,yes,NO
xstab,MM,pp,tail,Out,yes,NO
xstab,MM,nn,head,Out,yes,NO
xstab,MM,nn,tail,Out,yes,NO
xstab,SS,pp,head,Out,yes,NO
xstab,SS,pp,tail,Out,yes,NO
xstab,SS,nn,head,Out,yes,NO
xstab,SS,nn,tail,Out,yes,NO
